name,nationality,appointment_date,end_date,tenure,matches
Michael Carrick,England,2026-01-13,,83,10
Darren Fletcher,Scotland,2026-01-05,2026-01-13,8,2
Rúben Amorim,Portugal,2024-11-11,2026-01-05,420,63
Ruud van Nistelrooy,Netherlands,2024-10-28,2024-11-11,14,4
Erik ten Hag,Netherlands,2022-07-01,2024-10-28,850,128
Ralf Rangnick,Germany,2021-12-03,2022-05-31,179,29
Michael Carrick,England,2021-11-21,2021-12-03,12,3
Ole Gunnar Solskjaer,Norway,2019-03-28,2021-11-21,969,149
Ole Gunnar Solskjaer,Norway,2018-12-19,2019-03-28,99,19
José Mourinho,Portugal,2016-07-01,2018-12-18,900,144
Louis van Gaal,Netherlands,2014-07-14,2016-05-23,679,103
Ryan Giggs,Wales,2014-04-23,2014-06-30,68,4
David Moyes,Scotland,2013-07-01,2014-04-22,295,51
Alex Ferguson,Scotland,1986-11-06,2013-06-30,9733,1499
Ron Atkinson,England,1981-06-09,1986-11-06,1976,280
Jack Crompton,England,1981-03-31,1981-05-31,61,0
Dave Sexton,England,1977-07-14,1981-04-01,1357,191
Tommy Docherty,Scotland,1972-12-22,1977-07-04,1655,188
Frank O'Farrell,Ireland,1971-06-08,1972-12-19,560,81
Sir Matt Busby,Scotland,1970-12-29,1971-06-08,161,21
Wilf McGuinness,England,1969-08-09,1970-12-29,507,88
Jimmy Murphy,Wales,1958-02-07,1958-06-30,143,18
Sir Matt Busby,Scotland,1945-10-01,1969-06-30,8673,1088
Walter Crickmer,England,1937-11-09,1945-02-15,2655,42
Scott Duncan,Scotland,1932-07-01,1937-06-30,1825,54
Walter Crickmer,England,1931-11-09,1932-07-12,246,0
Herbert Bamlett,England,1927-04-13,1931-11-09,1671,173
Lal Hilditch,England,1926-10-01,1927-04-01,182,27
John Chapman,Scotland,1921-10-01,1926-10-01,1826,43
Jack Robson,England,1914-12-28,1921-10-31,2499,12
John Bentley,England,1912-10-28,1914-12-28,791,13
Ernest Mangnall,England,1903-10-10,1912-09-09,3257,33
Alf Albut,England,1889-07-01,1900-05-26,3980,3
